age,income,credit_score,debt_to_income,delinquencies_2yrs,recent_inquiries,loan_amount,employment_years,default
59,82290.51702377168,637.1996488540005,0.22491573262348274,0,0,20302.741544953053,4.253007507003093,0
49,97153.71137766106,735.0663664031147,0.36068653413595747,0,3,5726.618109266428,6.005972701453813,1
35,85120.07946834512,633.7546209465877,0.47769821736173423,0,0,26235.016409205222,11.216806262606593,0
63,88256.33364883852,651.7867547913734,0.2670073731894775,0,0,22603.74668509461,2.856417416214455,1
28,65993.54239776068,576.7452723122278,0.24534465952919432,1,2,25320.007762887246,0.0,1
41,65283.71197440548,645.1834176925081,0.2535574709564403,1,0,20024.690761400532,6.2575088262428995,0
59,71676.25963371134,699.0395906760939,0.42818615078897176,0,3,8493.16418708224,9.46494768603485,0
39,83361.32018625751,797.6700871758121,0.4472177246243192,0,0,19999.27148087524,4.426308234390417,0
43,57917.11710418467,653.4878415348735,0.3240470470114553,0,2,26230.97083649424,15.53219794814978,1
31,68051.34836257513,602.1373139684799,0.545969870368368,0,2,8096.912105337351,14.589992263958557,1
31,57241.35960110037,792.3026728200593,0.32383598711241535,0,4,8891.739834120548,5.71010914180433,0
44,67892.12054986323,642.1585672186836,0.47507998570017984,0,3,17539.156140488903,6.7468526273328795,1
56,33725.09172545382,548.8713757894351,0.26815980748988727,0,2,16286.704649676733,11.474925896834574,0
60,130149.43667398796,689.9820301352588,0.6000507840446677,0,1,19838.36165381234,5.64066109147948,0
44,46676.4970305281,655.6419895040618,0.5084157698695654,0,0,17083.02054296053,2.7836459309859296,1
23,55963.481881014224,850.0,0.30464304373657813,0,0,21599.995457971876,9.55572762494105,0
42,44518.39016112994,715.6524525760409,0.4921448250460403,1,1,32218.18019449358,7.857651369741183,1
22,80392.7187291135,669.0243234758873,0.4860776589406421,0,4,25383.883885973573,2.770620751936751,0
44,60099.93421894172,610.6627093058297,0.5063649291551178,0,1,20561.516543364174,7.116656680999036,0
64,40904.812247569556,704.7625130894726,0.05,0,3,8932.884530542278,5.359757925566886,0
50,81422.08415560857,789.2532462546345,0.4063221739149002,2,2,12780.134122244606,4.459617234630533,1
58,84791.22869806978,703.3860637607945,0.38507585231668895,2,0,28417.341790468447,2.8566414866646324,1
22,63328.091888068324,616.4427730911541,0.37652879371321435,1,0,15315.146061416828,6.485612446490195,1
41,48409.35121544808,720.4104658813966,0.3462015720077477,0,0,10322.478715062874,4.936570532442051,1
53,119776.65013899293,676.3544828845388,0.3497373535417432,0,0,40980.33118778794,7.138826307034916,0
32,73501.69076313078,713.6459827488621,0.4739768366357697,1,1,35244.59373926676,9.279350488259906,0
